prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Mr.,Melissa,Ramirez,488-467-9849,qfitzgerald@example.net,Richardsburgh,Massachusetts,52500,Timor-Leste,True
Mr.,Michelle,Brown,001-058-920-4144,daniel06@example.net,South Jeromehaven,California,79490,Slovakia (Slovak Republic),True
Dr.,Leslie,Ewing,(970)886-1023x7102,jenkinsvictoria@example.org,Port David,Connecticut,62811,Iceland,False
Dr.,Ronnie,Elliott,248.795.4784x283,hturner@example.org,Rodriguezshire,Florida,47051,Bahamas,True
Ind.,Gina,Thompson,243-399-7003x3552,festrada@example.com,Lake Kevin,Connecticut,63113,Romania,False
Mx.,Nicole,Davis,001-434-615-9544x4978,steven33@example.net,East Scottchester,Illinois,11165,Barbados,True
Dr.,Andrew,Clarke,001-555-820-3159x3458,elizabeth17@example.org,South Wendy,New Mexico,20333,Malawi,False
Misc.,Tony,Caldwell,001-909-916-1114x0519,ascott@example.com,Port Jasmine,North Carolina,61897,Singapore,True
Mr.,Gerald,Price,(578)060-6644x1458,imartinez@example.org,Port Jonathan,Pennsylvania,32527,Reunion,True
Dr.,Christopher,Johnson,752.565.2301x661,ugordon@example.com,North Johnathanmouth,Iowa,25921,Zambia,False
