prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Dr.,Tamara,Gonzalez,(681)482-0193x3287,mccanntimothy@example.org,Blackborough,Georgia,15504,Korea,True
Mx.,Curtis,Reyes,8382128070,fchristensen@example.com,West Sarahborough,Mississippi,89582,Syrian Arab Republic,True
Ms.,Bryan,Simmons,159.176.0222,rcoleman@example.com,Justinville,Delaware,98194,Montenegro,False
Ms.,Eric,Gallagher,591-464-2031,rgonzales@example.net,Kennethberg,Missouri,06278,Togo,False
Miss,Amy,Martin,219-918-4566,david50@example.net,Lake Mary,Vermont,25118,Kyrgyz Republic,False
Ms.,Maria,Bowman,001-035-965-9161x6099,mark45@example.com,Schmitttown,Wyoming,27741,Liechtenstein,False
Dr.,Lawrence,Smith,178.583.1501,kyle59@example.net,Keyland,California,22324,Tonga,True
Mrs.,Ana,Davis,683-559-0138,garymonroe@example.org,Port Nicole,Washington,08852,Guinea,False
Miss,Jacob,Foster,001-388-482-0969x1592,jonathan82@example.com,Jermainebury,Wisconsin,42442,Mozambique,True
Dr.,Taylor,Mullins,+1-668-916-1000,kathywood@example.org,South Andrea,Maryland,28378,Eritrea,False
