prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Dr.,Patricia,Coleman,487-031-4261x1049,kristinbradshaw@example.com,Gravesland,North Carolina,47115,Romania,True
Miss,Terri,Jones,890-137-8035,jacobsutton@example.com,Port Cherylton,Utah,58566,Serbia,False
Misc.,Melissa,Turner,8253528932,jacksonkevin@example.org,Port Eddiestad,Oregon,65544,Timor-Leste,False
Mr.,Barbara,Garcia,462-053-9415x0861,alexisward@example.org,Keithberg,Wisconsin,95633,Fiji,True
Dr.,Elizabeth,Cook,(156)239-2566,christopher16@example.org,Anitaton,West Virginia,98308,Cook Islands,True
Ms.,Terry,Rose,068.092.6849,estradarobin@example.net,Lake Sethmouth,Connecticut,15029,New Caledonia,False
Misc.,Abigail,Sullivan,+1-078-289-4460x95631,nunezjames@example.com,Port Brenda,Rhode Island,73210,Somalia,False
Misc.,Kimberly,Owen,001-273-591-9328x771,longcorey@example.net,South Daveland,Mississippi,28564,Faroe Islands,True
Mx.,Emily,Armstrong,609-131-1160,todd41@example.net,North Rebeccastad,Texas,81953,Mauritania,False
Dr.,Samantha,Jacobs,572-810-8294x17998,sabrinawoodward@example.net,South Carolynport,Georgia,72628,United States Virgin Islands,True
