prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Misc.,Joy,Black,922.875.8668,hmorgan@example.net,North Megan,Kentucky,31952,Guernsey,False
Misc.,Carolyn,Reynolds,825.782.6837x9166,lopezbrandy@example.com,West Natalie,Alaska,72735,El Salvador,True
Dr.,Calvin,Castillo,658.765.2034x5636,hendersoncatherine@example.org,New Elizabethville,New Jersey,21229,Denmark,True
Miss,James,Jones,001-768-435-1201x238,daniel43@example.com,West Davidview,New Jersey,43927,Haiti,True
Mrs.,Kelly,Willis,001-184-136-9757,christopher84@example.org,Williamstown,Indiana,57601,Swaziland,True
Ms.,Matthew,Murray,144.879.0279,millermicheal@example.com,New Matthewmouth,Nevada,33997,Isle of Man,False
Mrs.,Theresa,Oneill,001-142-285-2556x6576,fdrake@example.org,Port Kevin,North Dakota,19198,Italy,False
Misc.,Jessica,Marsh,586.128.3989x9623,steven83@example.org,Wallacestad,South Dakota,05121,Cook Islands,True
Ms.,Amanda,Henry,796-512-3803x81939,katherine56@example.com,Ashleymouth,Alabama,40720,Mexico,True
Dr.,Jessica,James,146-501-8495,uward@example.org,Scottmouth,Tennessee,72279,Mauritania,False
