prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Mx.,Nichole,Lee,(976)908-1119,roberto35@example.com,Port Arthurbury,Nevada,04935,Bahamas,False
Ind.,Brandon,Merritt,001-120-990-2434x978,christyluna@example.net,Kristinport,Alabama,74941,Faroe Islands,False
Dr.,Patricia,Norton,047.155.2859,daniel98@example.net,South Ashley,Connecticut,70937,France,True
Dr.,Sarah,Huerta,8526878738,annettewagner@example.com,West Gregory,Oklahoma,22456,Italy,True
Ind.,James,Myers,001-890-292-8259x3449,rtaylor@example.org,Port Joeside,Florida,59785,Belarus,False
Dr.,Christina,Hill,001-547-022-9916x716,diana89@example.org,Lake April,North Dakota,42103,Christmas Island,False
Dr.,Kristen,Fischer,(734)861-8359x116,jeffreyhenderson@example.org,Brucestad,Nevada,82883,Serbia,True
Mrs.,Kenneth,Knight,001-601-946-8596x9348,taylorann@example.net,Princeburgh,Massachusetts,12093,Korea,True
Dr.,Renee,Carter,7730184916,xjohnson@example.org,Tracyside,Indiana,89220,Hong Kong,False
Mr.,Joseph,Rowland,001-550-658-3376x9468,christophermoon@example.org,Mariamouth,Alabama,78777,Zimbabwe,False
