prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Dr.,Derrick,Harrington,+1-156-410-2281x1404,jennifercardenas@example.org,Toniton,Pennsylvania,76021,Aruba,True
Dr.,Frank,Short,9518888007,jeffrey22@example.org,Jennifertown,Arizona,51357,United Arab Emirates,True
Ind.,Sara,Barton,878.241.0236x7875,floresandrew@example.net,Stephenfurt,Nebraska,62609,Cook Islands,True
Mx.,Lisa,Page,(802)732-1316x9149,david43@example.net,West Oliviastad,Arizona,81803,Anguilla,False
Ind.,Rodney,Stewart,+1-486-086-4697,brandiweiss@example.net,Lake Christopher,Tennessee,79572,Pitcairn Islands,False
Mx.,Robert,Soto,+1-248-806-5387x888,wjohnson@example.net,Butlerfort,Michigan,12749,Timor-Leste,False
Ind.,Sophia,Smith,0381716720,rsmith@example.com,Lake Sarah,New York,53257,Vanuatu,False
Mrs.,Keith,Pennington,1887244257,hillbryan@example.com,Jacquelineshire,New Mexico,20395,Somalia,False
Ind.,Nina,Johnson,8874593798,lkennedy@example.net,West Robertmouth,Massachusetts,52202,Benin,True
Ind.,Angelica,Curry,001-580-334-3830,patrick07@example.org,East Gabriel,Colorado,81101,Chile,True
