prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Ind.,Sean,Smith,(886)810-0301,oliverlarry@example.net,Donnaside,Vermont,00630,Jordan,False
Dr.,Mckenzie,Bird,+1-615-318-6390,usmith@example.net,Alexastad,North Dakota,84495,Bhutan,True
Dr.,Christina,Ross,+1-182-053-8190,pbruce@example.org,West Andrew,Utah,45366,Micronesia,False
Ind.,David,Munoz,222-038-2406,katherinecole@example.net,Daviesborough,Alabama,41732,Moldova,True
Miss,Charles,Olson,194-191-6739,jonthompson@example.com,Allisonhaven,North Dakota,51561,Korea,True
Misc.,Amanda,Ford,014.075.3414x0221,ramosdustin@example.org,Mooreburgh,Maryland,07169,Syrian Arab Republic,False
Misc.,Anthony,Burke,(975)058-9781x699,russell91@example.com,North Melaniechester,Michigan,29862,Sweden,False
Dr.,Scott,Smith,001-771-762-4837x255,alejandraware@example.com,New Michaelport,New Jersey,89061,Palau,False
Ms.,Donna,Ballard,962.844.3599x284,ccobb@example.org,North Stephanie,New Hampshire,88642,Nauru,True
Mr.,Laura,Martinez,001-899-654-4372x57713,sriggs@example.net,West Markbury,Kentucky,53459,Fiji,False
