,Prefix,Full_Name,Phone Number,Email Id,City,State,Zip Code,Country,Status
0,mx.,james spencer,210-492-8273,cassidy23@example.org,kristieshire,north dakota,22178,british virgin islands,True
1,miss,paul davis,320.599.17449756,jbarnes@example.net,port nicholas,indiana,8448,french polynesia,False
2,dr.,brett hernandez,004.149.3603,juliesaunders@example.com,lake robert,connecticut,17243,saudi arabia,True
3,ms.,daniel noble,+1-042-860-1293972,emmaandrews@example.net,cheyenneton,kansas,97400,gambia,False
4,dr.,preston perez,862.587.622215616,jacoblong@example.com,littlefort,nevada,22625,somalia,True
5,ms.,stephanie tucker,4484819724,bgilbert@example.com,robertchester,louisiana,80139,philippines,False
6,ms.,ashley johnson,+1-868-743-3759085,ronaldsmith@example.org,davisborough,alabama,73590,georgia,True
7,misc.,denise cooper,604-069-8355,rmartin@example.org,lake erikmouth,idaho,71385,french polynesia,True
8,dr.,linda rivers,(189)886-621158274,oliviamcgee@example.org,west margaret,mississippi,56391,aruba,True
9,miss,danielle fisher,001-995-184-913205711,reedmiguel@example.net,lake destiny,maryland,25727,guam,True
