,Prefix,Full_Name,Phone Number,Email Id,City,State,Zip Code,Country,Status
0,mx.,heather hawkins,217.727.4150,kelli91@example.org,jeffreyhaven,idaho,27821,guadeloupe,False
1,dr.,kimberly brown,569.144.2441,carrharold@example.org,nancyhaven,mississippi,92792,india,True
2,mx.,kaylee martinez,175.474.920618615,miranda48@example.com,port linda,wyoming,24508,pakistan,True
3,dr.,glenn perez,(482)423-0165415,zbrown@example.org,vickiview,alabama,59384,papua new guinea,False
4,misc.,samantha hamilton,(197)937-8160540,thorntonsteven@example.net,whitechester,nevada,18437,pitcairn islands,True
5,mx.,alan keller,(569)688-6126197,franciscowood@example.com,brittanyville,missouri,86636,united states of america,False
6,miss,shannon hooper,756.216.5064661,zkennedy@example.org,east brittanytown,alaska,10976,andorra,False
7,misc.,kelly wood,001-048-293-4072577,connerelizabeth@example.net,north stevenborough,georgia,63995,heard island and mcdonald islands,True
8,ms.,maria stewart,(766)724-37234468,josephglass@example.org,port devinville,nevada,18067,italy,False
9,dr.,pamela carpenter,(384)336-166131804,vtaylor@example.net,sharpfort,michigan,60583,cote d'ivoire,False
