prefix,name,phonenumber,emailid,city,state,zipcode,country,status
dr.,darren gentry,+1-201-939-32268881,brownheidi@example.com,west williamfurt,arkansas,36581,croatia,False
miss,joy lucas,(252)177-0976,lauraclark@example.org,andrewhaven,maine,86522,lebanon,False
misc.,kevin kelly,+1-638-127-3367115,lwalton@example.org,east jeremiah,connecticut,68834,united kingdom,False
dr.,john brown,+1-604-334-3468338,patrickschmidt@example.org,north karen,illinois,86281,lithuania,False
dr.,ashley lambert,563.242.449306209,ceaton@example.org,rodrigueztown,nebraska,28473,israel,True
misc.,kimberly cunningham,198-772-186681308,stevenskimberly@example.net,lake veronica,new jersey,27933,ghana,False
ind.,michael newman,134.583.6087,christopherespinoza@example.net,lake henry,montana,3277,chile,True
ms.,eduardo watson,641.795.1599,johnnyspencer@example.org,new sarah,kentucky,91703,lebanon,True
misc.,christopher oliver,+1-737-628-903191929,newmandana@example.net,johnchester,new mexico,21516,congo,True
mx.,amber boyer,890-043-2711,davisjohn@example.com,south patriciaview,west virginia,68801,bangladesh,True
dr.,tamara gonzalez,(681)482-01933287,mccanntimothy@example.org,blackborough,georgia,15504,korea,True
mx.,curtis reyes,8382128070,fchristensen@example.com,west sarahborough,mississippi,89582,syrian arab republic,True
ms.,bryan simmons,159.176.0222,rcoleman@example.com,justinville,delaware,98194,montenegro,False
ms.,eric gallagher,591-464-2031,rgonzales@example.net,kennethberg,missouri,6278,togo,False
miss,amy martin,219-918-4566,david50@example.net,lake mary,vermont,25118,kyrgyz republic,False
ms.,maria bowman,001-035-965-91616099,mark45@example.com,schmitttown,wyoming,27741,liechtenstein,False
dr.,lawrence smith,178.583.1501,kyle59@example.net,keyland,california,22324,tonga,True
mrs.,ana davis,683-559-0138,garymonroe@example.org,port nicole,washington,8852,guinea,False
miss,jacob foster,001-388-482-09691592,jonathan82@example.com,jermainebury,wisconsin,42442,mozambique,True
dr.,taylor mullins,+1-668-916-1000,kathywood@example.org,south andrea,maryland,28378,eritrea,False
dr.,lindsey norton,8283600902,wkirby@example.com,beasleyport,kentucky,48554,kenya,True
dr.,shelby webb,(831)300-6984578,dustinbarker@example.com,east nancyhaven,new hampshire,55253,maldives,True
mrs.,katherine williams,+1-820-679-2993076,daniel39@example.net,burkefurt,arkansas,45184,anguilla,True
dr.,jessica reed,969.505.7688,lorimorrison@example.net,south daniel,new york,11093,guatemala,True
misc.,zachary brown,890-269-38820515,jeffrey72@example.com,fullerborough,hawaii,45375,british virgin islands,False
miss,sara green,165.346.43709212,ddavidson@example.net,romeromouth,rhode island,53508,azerbaijan,True
dr.,alex barnes,4895993725,matthewhutchinson@example.org,south ian,rhode island,5185,mali,False
ind.,robert mitchell,(765)200-18289279,curtisjohnson@example.org,east andreastad,north dakota,16909,hungary,True
mx.,kenneth murphy,(887)440-5135,sconrad@example.org,lake christopherbury,oregon,84419,papua new guinea,True
mx.,ryan nolan,001-621-415-9170,ianmartin@example.com,jameschester,texas,96951,british indian ocean territory (chagos archipelago),False
ind.,shelley taylor,001-133-966-6368123,brittany71@example.org,mcdanielton,new hampshire,88561,anguilla,False
mrs.,janet bartlett,977-620-1735,nancy74@example.com,cannonside,oklahoma,76060,bermuda,False
dr.,amy powell,5963469670,ethanjenkins@example.org,west michelle,connecticut,19785,greece,True
mr.,ashlee hunt,+1-917-524-566596226,samuel15@example.org,north sabrinaton,alabama,89550,latvia,True
mr.,jennifer rose,650-128-27374022,catherine60@example.net,hunterton,nebraska,5249,netherlands,True
mrs.,lindsay adams,860.590.2234,kerrymurphy@example.com,robertton,south dakota,63687,angola,True
mx.,joseph taylor,(960)643-6438,reneeperez@example.com,lake jeremyfort,new mexico,24946,united kingdom,False
ms.,matthew james,4596203322,kadams@example.org,vanessaberg,wyoming,94883,jordan,False
mrs.,john tucker,108-490-3316,kelsey38@example.org,lake patricia,north carolina,69993,montserrat,True
dr.,barbara mitchell,001-387-522-3136090,nbrown@example.org,port tiffanymouth,maryland,59013,tonga,True
mrs.,shari ortiz,402.297.9922,michael57@example.net,east veronicaburgh,missouri,64258,israel,True
miss,beth smith,001-774-797-973803219,danielcrane@example.org,summerview,illinois,87806,trinidad and tobago,True
mr.,wendy macias,001-332-663-48042689,charlessalazar@example.com,port alyssafurt,california,86862,togo,False
mr.,andrew bell,225.541.06465053,leslie40@example.net,east paula,new jersey,19941,niue,True
ind.,jennifer williams,798-295-7564037,taylormarco@example.org,robertsfort,delaware,33901,qatar,False
dr.,manuel wang,028.602.530573764,joseelliott@example.net,kirbystad,south carolina,1448,korea,True
dr.,nicole hogan,2377970249,nguyenandrew@example.net,west heather,wyoming,65097,lithuania,False
mx.,michael white,001-308-408-38668705,mccormickbrittney@example.net,tonyfort,nevada,89323,peru,False
mx.,jason davies,020-146-767010843,xwu@example.com,josephmouth,louisiana,84649,niger,False
mr.,marisa greene,(759)196-68415510,vcampbell@example.net,gutierrezside,oklahoma,36259,ecuador,False
