prefix,name,phonenumber,emailid,city,state,zipcode,country,status
ind.,erica finley,(920)016-0946,pricelouis@example.net,francoshire,south dakota,10318,slovenia,False
ms.,craig watson,708.196.8730,awood@example.net,east amberland,delaware,54841,cote d'ivoire,True
dr.,mason grant,8727959574,sharon32@example.net,cameronchester,connecticut,16852,georgia,False
dr.,albert edwards,435.177.5700,foxkimberly@example.org,east terriland,oregon,60805,japan,True
ind.,daniel anderson,169-916-25042207,ohickman@example.net,lake frank,alabama,41047,sri lanka,False
mrs.,calvin thomas,001-892-791-472709439,kaneholly@example.org,danieltown,maine,80716,switzerland,True
misc.,erin schneider,+1-774-182-33576919,melissastephens@example.org,new jamesshire,south carolina,58935,italy,False
misc.,curtis stark,979.059.8663,bperez@example.org,mayoland,wisconsin,34867,myanmar,False
misc.,dakota alvarez,9352525703,rodriguezjessica@example.com,port elizabeth,kentucky,28234,saint helena,False
ms.,paul boyd,876.334.2963,rsantana@example.com,williamsshire,missouri,15962,portugal,True
