prefix,name,phonenumber,emailid,city,state,zipcode,country,status
dr.,tamara gonzalez,(681)482-01933287,mccanntimothy@example.org,blackborough,georgia,15504,korea,True
mx.,curtis reyes,8382128070,fchristensen@example.com,west sarahborough,mississippi,89582,syrian arab republic,True
ms.,bryan simmons,159.176.0222,rcoleman@example.com,justinville,delaware,98194,montenegro,False
ms.,eric gallagher,591-464-2031,rgonzales@example.net,kennethberg,missouri,6278,togo,False
miss,amy martin,219-918-4566,david50@example.net,lake mary,vermont,25118,kyrgyz republic,False
ms.,maria bowman,001-035-965-91616099,mark45@example.com,schmitttown,wyoming,27741,liechtenstein,False
dr.,lawrence smith,178.583.1501,kyle59@example.net,keyland,california,22324,tonga,True
mrs.,ana davis,683-559-0138,garymonroe@example.org,port nicole,washington,8852,guinea,False
miss,jacob foster,001-388-482-09691592,jonathan82@example.com,jermainebury,wisconsin,42442,mozambique,True
dr.,taylor mullins,+1-668-916-1000,kathywood@example.org,south andrea,maryland,28378,eritrea,False
ms.,james rice,+1-408-512-426695318,pduran@example.org,port paula,pennsylvania,36501,cyprus,True
misc.,brooke sanchez,001-907-523-7234498,denise93@example.net,jonestown,ohio,34373,nepal,True
mx.,amanda mitchell,186-405-1079300,tlutz@example.org,east michaelhaven,louisiana,76493,canada,False
mx.,christopher white,+1-405-335-1230,allenmegan@example.com,sullivanshire,hawaii,23181,grenada,False
mr.,joanne guzman,+1-678-082-8134,pboyd@example.org,port randall,utah,21580,afghanistan,True
mr.,kayla johnson,(267)002-36041365,colemanlindsey@example.com,vaughanburgh,montana,54356,jamaica,True
dr.,christopher holmes,884.206.55053949,johnsonjohn@example.org,north william,new hampshire,12841,cape verde,True
dr.,andrew scott,768.190.7287,john93@example.org,christophermouth,new york,94258,brazil,True
dr.,christine myers,001-397-318-3689,brownjoseph@example.com,powellport,north dakota,18751,kazakhstan,True
ind.,stacy hayes,883-825-4340,agreen@example.com,east mackenzie,north dakota,26649,korea,False
