,prefix,name,phonenumber,emailid,city,state,zipcode,country,status
0,dr.,darren gentry,+1-201-939-32268881,brownheidi@example.com,west williamfurt,arkansas,36581,croatia,False
1,miss,joy lucas,(252)177-0976,lauraclark@example.org,andrewhaven,maine,86522,lebanon,False
2,misc.,kevin kelly,+1-638-127-3367115,lwalton@example.org,east jeremiah,connecticut,68834,united kingdom,False
3,dr.,john brown,+1-604-334-3468338,patrickschmidt@example.org,north karen,illinois,86281,lithuania,False
4,dr.,ashley lambert,563.242.449306209,ceaton@example.org,rodrigueztown,nebraska,28473,israel,True
5,misc.,kimberly cunningham,198-772-186681308,stevenskimberly@example.net,lake veronica,new jersey,27933,ghana,False
6,ind.,michael newman,134.583.6087,christopherespinoza@example.net,lake henry,montana,3277,chile,True
7,ms.,eduardo watson,641.795.1599,johnnyspencer@example.org,new sarah,kentucky,91703,lebanon,True
8,misc.,christopher oliver,+1-737-628-903191929,newmandana@example.net,johnchester,new mexico,21516,congo,True
9,mx.,amber boyer,890-043-2711,davisjohn@example.com,south patriciaview,west virginia,68801,bangladesh,True
