prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Dr.,Lindsey,Norton,8283600902,wkirby@example.com,Beasleyport,Kentucky,48554,Kenya,True
Dr.,Shelby,Webb,(831)300-6984x578,dustinbarker@example.com,East Nancyhaven,New Hampshire,55253,Maldives,True
Mrs.,Katherine,Williams,+1-820-679-2993x076,daniel39@example.net,Burkefurt,Arkansas,45184,Anguilla,True
Dr.,Jessica,Reed,969.505.7688,lorimorrison@example.net,South Daniel,New York,11093,Guatemala,True
Misc.,Zachary,Brown,890-269-3882x0515,jeffrey72@example.com,Fullerborough,Hawaii,45375,British Virgin Islands,False
Miss,Sara,Green,165.346.4370x9212,ddavidson@example.net,Romeromouth,Rhode Island,53508,Azerbaijan,True
Dr.,Alex,Barnes,4895993725,matthewhutchinson@example.org,South Ian,Rhode Island,05185,Mali,False
Ind.,Robert,Mitchell,(765)200-1828x9279,curtisjohnson@example.org,East Andreastad,North Dakota,16909,Hungary,True
Mx.,Kenneth,Murphy,(887)440-5135,sconrad@example.org,Lake Christopherbury,Oregon,84419,Papua New Guinea,True
Mx.,Ryan,Nolan,001-621-415-9170,ianmartin@example.com,Jameschester,Texas,96951,British Indian Ocean Territory (Chagos Archipelago),False
