prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Ind.,Shelley,Taylor,001-133-966-6368x123,brittany71@example.org,Mcdanielton,New Hampshire,88561,Anguilla,False
Mrs.,Janet,Bartlett,977-620-1735,nancy74@example.com,Cannonside,Oklahoma,76060,Bermuda,False
Dr.,Amy,Powell,5963469670,ethanjenkins@example.org,West Michelle,Connecticut,19785,Greece,True
Mr.,Ashlee,Hunt,+1-917-524-5665x96226,samuel15@example.org,North Sabrinaton,Alabama,89550,Latvia,True
Mr.,Jennifer,Rose,650-128-2737x4022,catherine60@example.net,Hunterton,Nebraska,05249,Netherlands,True
Mrs.,Lindsay,Adams,860.590.2234,kerrymurphy@example.com,Robertton,South Dakota,63687,Angola,True
Mx.,Joseph,Taylor,(960)643-6438,reneeperez@example.com,Lake Jeremyfort,New Mexico,24946,United Kingdom,False
Ms.,Matthew,James,4596203322,kadams@example.org,Vanessaberg,Wyoming,94883,Jordan,False
Mrs.,John,Tucker,108-490-3316,kelsey38@example.org,Lake Patricia,North Carolina,69993,Montserrat,True
Dr.,Barbara,Mitchell,001-387-522-3136x090,nbrown@example.org,Port Tiffanymouth,Maryland,59013,Tonga,True
