prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Mx.,Ronald,Hays,4860284775,watsongregory@example.org,West Katherineburgh,Georgia,50362,Christmas Island,True
Mx.,Thomas,Rodriguez,(594)958-5738,andrew50@example.com,Hendersonburgh,Illinois,11623,Guinea-Bissau,False
Mrs.,Bryan,Jackson,603.121.6620x4084,joneskimberly@example.net,North Christopher,Arizona,48910,Dominican Republic,True
Misc.,Michael,Wilson,001-598-557-8453x861,ibarrawanda@example.org,Lake Rachael,South Dakota,00908,Rwanda,True
Mrs.,Destiny,Washington,878-064-2503,andrea13@example.org,North Katherineburgh,Arkansas,24293,Grenada,True
Miss,Laura,Sosa,001-820-557-4660x935,owoodward@example.com,Port Jamesville,Alaska,73610,Korea,True
Mr.,Dan,Smith,001-094-048-0118x584,jtate@example.org,Ashleyberg,South Dakota,68345,Burkina Faso,True
Misc.,Michelle,Todd,(892)821-4575,donna97@example.org,Alisonberg,Oregon,07645,Bosnia and Herzegovina,True
Mrs.,Kimberly,Greene,151-965-1834,hernandezwendy@example.org,Petershire,Tennessee,52966,Haiti,False
Ind.,Selena,Wilcox,+1-098-258-8700x56245,brandonwatson@example.net,West Natalieport,Arkansas,97759,Lao People's Democratic Republic,False
