prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Miss,Joshua,Silva,5958881576,amanda93@example.net,East Marco,Washington,50640,Saint Barthelemy,True
Ms.,Maria,Smith,001-122-525-7230x581,hansonnicole@example.net,Colleenburgh,New Mexico,65869,Cyprus,True
Ind.,Megan,Duran,(809)965-1238,qramirez@example.org,Lake Wesleyland,Missouri,25834,South Georgia and the South Sandwich Islands,True
Misc.,Scott,Porter,(179)453-2795x415,sanchezpatrick@example.com,East James,Illinois,83541,Somalia,False
Ind.,Christopher,Lee,(378)002-9184,hernandezjill@example.net,Hansenview,Texas,22015,Cook Islands,True
Dr.,Michael,Holmes,+1-705-528-1674,sara65@example.net,Reedview,Maine,41731,Cuba,False
Mr.,Michael,Burton,(098)970-9604,gary23@example.com,South Timothy,Ohio,45907,Rwanda,True
Misc.,James,Kelly,(048)862-6183,srush@example.net,Torresfort,Ohio,61886,Sierra Leone,False
Ind.,James,Burgess,312-278-7429,ysmith@example.net,North Raymondstad,Massachusetts,61956,Korea,False
Mr.,William,Everett,(224)696-4410x469,tammy73@example.com,North Rachelport,Wisconsin,22958,Netherlands,False
