prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Dr.,Alexander,Diaz,263.202.8740x337,ethomas@example.com,East Lauraview,New Mexico,20762,Anguilla,True
Dr.,Kevin,Patrick,+1-804-352-8836x68249,slopez@example.org,Jeremyside,Ohio,78189,Mali,True
Misc.,Eric,Davis,+1-898-009-9206x6303,pthomas@example.com,Clarkbury,Pennsylvania,59077,Bosnia and Herzegovina,False
Mr.,Kara,Baxter,+1-029-777-9544x937,fmeza@example.org,West Caitlyn,Maryland,86224,Cape Verde,True
Dr.,Randy,Bell,+1-897-973-5286x6954,gpayne@example.org,Lake Lauren,Idaho,59245,Ecuador,False
Ind.,Jaime,Williams,001-987-262-7286x15320,christinewilson@example.com,Calvintown,New Hampshire,45452,Senegal,False
Ms.,Terri,Hoffman,+1-607-461-8658x8279,michelleroy@example.com,Port Johnnymouth,Oregon,44515,Faroe Islands,True
Misc.,Christopher,Espinoza,+1-608-492-0733,joshua90@example.com,New Lindseymouth,Oklahoma,25471,Maldives,False
Dr.,Nathan,Schmidt,+1-080-760-3877x56200,samuelbranch@example.net,Jonathanfurt,Georgia,02725,Pitcairn Islands,False
Dr.,Amber,Francis,001-618-345-4133x810,terryraymond@example.org,North Dustin,Wyoming,74028,Macedonia,False
