prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Mrs.,Shari,Ortiz,402.297.9922,michael57@example.net,East Veronicaburgh,Missouri,64258,Israel,True
Miss,Beth,Smith,001-774-797-9738x03219,danielcrane@example.org,Summerview,Illinois,87806,Trinidad and Tobago,True
Mr.,Wendy,Macias,001-332-663-4804x2689,charlessalazar@example.com,Port Alyssafurt,California,86862,Togo,False
Mr.,Andrew,Bell,225.541.0646x5053,leslie40@example.net,East Paula,New Jersey,19941,Niue,True
Ind.,Jennifer,Williams,798-295-7564x037,taylormarco@example.org,Robertsfort,Delaware,33901,Qatar,False
Dr.,Manuel,Wang,028.602.5305x73764,joseelliott@example.net,Kirbystad,South Carolina,01448,Korea,True
Dr.,Nicole,Hogan,2377970249,nguyenandrew@example.net,West Heather,Wyoming,65097,Lithuania,False
Mx.,Michael,White,001-308-408-3866x8705,mccormickbrittney@example.net,Tonyfort,Nevada,89323,Peru,False
Mx.,Jason,Davies,020-146-7670x10843,xwu@example.com,Josephmouth,Louisiana,84649,Niger,False
Mr.,Marisa,Greene,(759)196-6841x5510,vcampbell@example.net,Gutierrezside,Oklahoma,36259,Ecuador,False
