Prefix,First_Name,Last_Name,Phone Number,Email Id,City,State,Zip Code,Country,Status
Ind.,Stephanie,Patterson,+1-479-819-6587x6151,cannonalyssa@example.com,Connorberg,Louisiana,70060,Korea,True
Mrs.,Angela,Molina,(010)835-6433x1322,bridget16@example.net,Lake Hannahchester,South Carolina,30962,Sweden,False
Ind.,Steven,Smith,691-205-5515x02856,ramirezedward@example.com,Colonview,Utah,92678,Angola,False
Dr.,Michael,Barnes,822.301.9071x44196,ginavelazquez@example.net,South Taylorview,New Jersey,68976,United Kingdom,True
Ind.,Lisa,Grant,866-358-8027x8835,brookspatrick@example.net,Scottborough,Kansas,74304,New Caledonia,True
Dr.,Earl,Ramirez,(527)397-0063x41607,elawson@example.com,Aaronview,Delaware,52965,Swaziland,False
Ms.,Christopher,Moore,+1-768-854-6695,wlee@example.com,Coreyberg,Maryland,27260,Swaziland,True
Mx.,Gary,Watts,482.567.9472,melissa73@example.org,Rayberg,Nevada,42176,Cyprus,False
Misc.,Deborah,Lee,409-679-9433x756,ashley57@example.org,Kaylaview,Arizona,37641,Armenia,False
Mx.,Heidi,Armstrong,236.775.3520x08992,michelewilliams@example.net,Ritaborough,Washington,36282,Mauritania,False
