Prefix,First_Name,Last_Name,Phone Number,Email Id,City,State,Zip Code,Country,Status
Misc.,Amanda,Mercado,436-713-5323,davidkirk@example.com,Masonfurt,Montana,71189,Lesotho,True
Mr.,Chelsea,White,777.249.1726x058,kingchristopher@example.net,Johnmouth,California,80610,Luxembourg,False
Misc.,Lee,Johnson,+1-804-750-8499x461,vwalls@example.net,West Lisaborough,Vermont,13828,Greenland,False
Dr.,James,Collins,950-101-8582,angela22@example.net,North Kevin,South Carolina,61136,Isle of Man,False
Mx.,Cindy,Neal,704.165.1192x38074,michelle13@example.net,South Melanie,Colorado,33215,Guernsey,True
Misc.,Stephen,Johnson,001-559-031-8038x2176,plopez@example.net,Danielchester,Nevada,67286,Hungary,False
Ms.,Jennifer,Calderon,388.187.4232x94789,carsonlisa@example.org,East Janet,North Dakota,07519,Saint Kitts and Nevis,True
Mx.,Shannon,Curtis,581.084.4968x047,dennisharvey@example.org,Andreaborough,West Virginia,88244,Tuvalu,True
Ms.,Isaac,Johnson,(218)660-5970x062,jgoodwin@example.net,Reeseport,Hawaii,00703,Slovakia (Slovak Republic),False
Dr.,David,Nelson,001-693-287-7811x993,markevans@example.com,Monicamouth,Rhode Island,07797,Bahamas,False
